partyName,sourceFile,sourceRow,invoiceDate,ourRefNo,invoiceNo,currency,statementBalance,differenceType
CEDRUS GLOBAL TRADING,LOCAL STATEMENT MAR2026 CAD.xls,1676,2026-01-03,PEAE008896,ITC355043,CAD,-691.56,NOT_IN_UPLOADED_ERP_EXTRACT
CEDRUS GLOBAL TRADING,LOCAL STATEMENT MAR2026 CAD.xls,1678,2026-01-03,PEAE008896,ITC355044,CAD,-691.56,NOT_IN_UPLOADED_ERP_EXTRACT
FEDEX FREIGHT CANADA,LOCAL STATEMENT MAR2026 CAD.xls,2459,2026-02-25,PEAE003106,2-716-13843,CAD,-276.85,NOT_IN_UPLOADED_ERP_EXTRACT
OLBERT METAL,LOCAL STATEMENT MAR2026 CAD.xls,6023,2026-01-27,PEOI009159,PEIN018587,CAD,35,NOT_IN_UPLOADED_ERP_EXTRACT
S&J TRANSPORT,LOCAL STATEMENT MAR2026 CAD.xls,7050,2026-01-05,PEOI009180,24465,CAD,-100,NOT_IN_UPLOADED_ERP_EXTRACT
WIN YAN LOGISTICS,LOCAL STATEMENT MAR2026 CAD.xls,8894,2026-01-31,PEOI009210,1760,CAD,-725,NOT_IN_UPLOADED_ERP_EXTRACT
OLBERT METAL,LOCAL STATEMENT MAR2026 USD.xls,1386,2026-01-27,PEOI009158,,USD,35,NOT_IN_UPLOADED_ERP_EXTRACT
