rule,sourceType,sourceFile,sourceRow,partyName,currency,direction,rawBalance,ourRefNo,sourceInternalId
W2,INVOICE,1.INVOICE_JAN-APR 2026.xls,90,LEMOND FOOD CORP NEW ADDR,CAD,receivable,1285,PEOI009339,17249
W2,INVOICE,1.INVOICE_JAN-APR 2026.xls,92,LEMOND FOOD CORP NEW ADDR,CAD,receivable,1370,PEOI009332,17247
W2,INVOICE,1.INVOICE_JAN-APR 2026.xls,95,LEMOND FOOD CORP NEW ADDR,USD,receivable,80,PEOI009343,17246
W2,INVOICE,1.INVOICE_JAN-APR 2026.xls,97,LEMOND FOOD CORP NEW ADDR,CAD,receivable,870,PEOI009344,17244
W2,INVOICE,1.INVOICE_JAN-APR 2026.xls,98,LEMOND FOOD CORP NEW ADDR,CAD,receivable,870,PEOI009347,17243
W2,INVOICE,1.INVOICE_JAN-APR 2026.xls,101,LEMOND FOOD CORP NEW ADDR,USD,receivable,4700,PEOI009339,17240
W2,INVOICE,1.INVOICE_JAN-APR 2026.xls,102,LEMOND FOOD CORP NEW ADDR,USD,receivable,4950,PEOI009405,17239
I2,INVOICE,1.INVOICE_JAN-APR 2026.xls,105,EXCELSIOR FLOORING,CAD,receivable,253.9,PEOI009403,17236
W2,INVOICE,1.INVOICE_JAN-APR 2026.xls,107,LEMOND FOOD CORP NEW ADDR,CAD,receivable,1965,PEOI009305,17233
W2,INVOICE,1.INVOICE_JAN-APR 2026.xls,109,LEMOND FOOD CORP NEW ADDR,CAD,receivable,1450,PEOI009313,17230
W2,INVOICE,1.INVOICE_JAN-APR 2026.xls,120,LEMOND FOOD CORP NEW ADDR,USD,receivable,4800,PEOI009389,17218
W2,INVOICE,1.INVOICE_JAN-APR 2026.xls,121,LEMOND FOOD CORP NEW ADDR,CAD,receivable,1670,PEOI009316,17217
W2,INVOICE,1.INVOICE_JAN-APR 2026.xls,122,LEMOND FOOD CORP NEW ADDR,CAD,receivable,1370,PEOI009333,17216
W2,INVOICE,1.INVOICE_JAN-APR 2026.xls,123,LEMOND FOOD CORP NEW ADDR,CAD,receivable,1420,PEOI009315,17215
W2,INVOICE,1.INVOICE_JAN-APR 2026.xls,124,LEMOND FOOD CORP NEW ADDR,CAD,receivable,1120,PEOI009314,17214
W2,INVOICE,1.INVOICE_JAN-APR 2026.xls,125,LEMOND FOOD CORP NEW ADDR,CAD,receivable,870,PEOI009310,17213
I2,INVOICE,1.INVOICE_JAN-APR 2026.xls,127,CENTRE LOGISTIQUE,CAD,receivable,562.5,INVEN000111,17253
I2,INVOICE,1.INVOICE_JAN-APR 2026.xls,129,WIG BEAUTY OUTLET,CAD,receivable,94.61,TRU-00374,17209
I2,INVOICE,1.INVOICE_JAN-APR 2026.xls,132,CENTRE LOGISTIQUE,CAD,receivable,653,INVEN000110,17252
W2,INVOICE,1.INVOICE_JAN-APR 2026.xls,133,LEMOND FOOD CORP NEW ADDR,CAD,receivable,955,PEOI009384,17206
W2,INVOICE,1.INVOICE_JAN-APR 2026.xls,134,LEMOND FOOD CORP NEW ADDR,CAD,receivable,955,PEOI009383,17205
W2,INVOICE,1.INVOICE_JAN-APR 2026.xls,135,LEMOND FOOD CORP NEW ADDR,CAD,receivable,955,PEOI009306,17204
W2,INVOICE,1.INVOICE_JAN-APR 2026.xls,136,LEMOND FOOD CORP NEW ADDR,CAD,receivable,870,PEOI009382,17203
W2,INVOICE,1.INVOICE_JAN-APR 2026.xls,137,LEMOND FOOD CORP NEW ADDR,USD,receivable,4850,PEOI009357,17202
W2,INVOICE,1.INVOICE_JAN-APR 2026.xls,139,LEMOND FOOD CORP NEW ADDR,CAD,receivable,1125,PEOI009309,17199
W2,INVOICE,1.INVOICE_JAN-APR 2026.xls,140,LEMOND FOOD CORP NEW ADDR,CAD,receivable,1125,PEOI009335,17198
W2,INVOICE,1.INVOICE_JAN-APR 2026.xls,141,LEMOND FOOD CORP NEW ADDR,CAD,receivable,1325,PEOI009359,17197
W2,INVOICE,1.INVOICE_JAN-APR 2026.xls,142,LEMOND FOOD CORP NEW ADDR,CAD,receivable,1325,PEOI009360,17196
W2,INVOICE,1.INVOICE_JAN-APR 2026.xls,155,LEMOND FOOD CORP NEW ADDR,CAD,receivable,1525,PEOI009311,17176
I2,INVOICE,1.INVOICE_JAN-APR 2026.xls,156,EXCELSIOR FLOORING,CAD,receivable,211.3,PEOI009376,17175
W2,INVOICE,1.INVOICE_JAN-APR 2026.xls,161,LEMOND FOOD CORP NEW ADDR,CAD,receivable,1370,PEOI009304,17172
W2,INVOICE,1.INVOICE_JAN-APR 2026.xls,162,LEMOND FOOD CORP NEW ADDR,CAD,receivable,1445,PEOI009300,17171
W2,INVOICE,1.INVOICE_JAN-APR 2026.xls,163,LEMOND FOOD CORP NEW ADDR,USD,settled,0,PEOI009311,17170
I2,INVOICE,1.INVOICE_JAN-APR 2026.xls,174,CENTRE LOGISTIQUE,CAD,receivable,77.5,INVEN000109,17167
W2,INVOICE,1.INVOICE_JAN-APR 2026.xls,176,LEMOND FOOD CORP NEW ADDR,USD,settled,0,PEOI009300,17165
I2,INVOICE,1.INVOICE_JAN-APR 2026.xls,179,LUNE & BE,CAD,receivable,120,INVEN000081,17162
I2,INVOICE,1.INVOICE_JAN-APR 2026.xls,180,LUNE & BE,CAD,receivable,120,INVEN000098,17161
W2,INVOICE,1.INVOICE_JAN-APR 2026.xls,184,LEMOND FOOD CORP NEW ADDR,CAD,receivable,1120,PEOI009334,17155
W2,INVOICE,1.INVOICE_JAN-APR 2026.xls,186,LEMOND FOOD CORP NEW ADDR,USD,receivable,700,PEOI009317,17153
I2,INVOICE,1.INVOICE_JAN-APR 2026.xls,187,CENTRE LOGISTIQUE,CAD,receivable,666,INVEN000107,17152
W2,INVOICE,1.INVOICE_JAN-APR 2026.xls,193,LEMOND FOOD CORP NEW ADDR,USD,receivable,30,PEOI009359,17145
W2,INVOICE,1.INVOICE_JAN-APR 2026.xls,194,LEMOND FOOD CORP NEW ADDR,USD,receivable,30,PEOI009360,17144
W2,INVOICE,1.INVOICE_JAN-APR 2026.xls,196,LEMOND FOOD CORP NEW ADDR,CAD,receivable,1060,PEOI009312,17142
I2,INVOICE,1.INVOICE_JAN-APR 2026.xls,197,ESBE SCIENTIFIC,CAD,receivable,575.44,PEAI008797,17141
W2,INVOICE,1.INVOICE_JAN-APR 2026.xls,201,LEMOND FOOD CORP NEW ADDR,CAD,receivable,2020,PEOI009317,17139
W2,INVOICE,1.INVOICE_JAN-APR 2026.xls,202,LEMOND FOOD CORP NEW ADDR,CAD,receivable,1935,PEOI009342,17138
W2,INVOICE,1.INVOICE_JAN-APR 2026.xls,203,LEMOND FOOD CORP NEW ADDR,CAD,receivable,1785,PEOI009326,17137
W2,INVOICE,1.INVOICE_JAN-APR 2026.xls,208,LEMOND FOOD CORP NEW ADDR,CAD,receivable,1620,PEOI009239,17132
W2,INVOICE,1.INVOICE_JAN-APR 2026.xls,211,LEMOND FOOD CORP NEW ADDR,CAD,receivable,1125,PEOI009357,17129
W2,INVOICE,1.INVOICE_JAN-APR 2026.xls,215,LEMOND FOOD CORP NEW ADDR,CAD,receivable,2110,PEOI009292,17128
W2,INVOICE,1.INVOICE_JAN-APR 2026.xls,216,LEMOND FOOD CORP NEW ADDR,CAD,receivable,85,PEOI009356,17127
W2,INVOICE,1.INVOICE_JAN-APR 2026.xls,217,LEMOND FOOD CORP NEW ADDR,CAD,receivable,1370,PEOI009303,17126
W2,INVOICE,1.INVOICE_JAN-APR 2026.xls,219,LEMOND FOOD CORP NEW ADDR,CAD,receivable,2235,PEOI009294,17121
W2,INVOICE,1.INVOICE_JAN-APR 2026.xls,220,LEMOND FOOD CORP NEW ADDR,CAD,receivable,990,PEOI009293,17120
W2,INVOICE,1.INVOICE_JAN-APR 2026.xls,221,LEMOND FOOD CORP NEW ADDR,CAD,receivable,910,PEOI009319,17119
